

Hessian unlearning summary across seeds:
  acc_after: mean=0.8745, variance=0.000003
  mia_acc_before: mean=0.5833, variance=0.000047
  mia_acc_after: mean=0.5842, variance=0.000082
  feature_vote_precision: mean=0.2933, variance=0.086400
  feature_vote_recall: mean=0.2400, variance=0.086400
  feature_vote_overlap: mean=0.2400, variance=0.086400
  delta_z_precision: mean=0.6000, variance=0.000000
  delta_z_recall: mean=0.6000, variance=0.000000
  delta_z_overlap: mean=0.6000, variance=0.000000
  confidence_drop_precision: mean=0.5200, variance=0.009600
  confidence_drop_recall: mean=0.5200, variance=0.009600
  confidence_drop_overlap: mean=0.5200, variance=0.009600
  hybrid_precision: mean=0.5600, variance=0.022400
  hybrid_recall: mean=0.5600, variance=0.022400
  hybrid_overlap: mean=0.5600, variance=0.022400
  ulia_known_k_precision: mean=0.5600, variance=0.022400
  ulia_known_k_recall: mean=0.5600, variance=0.022400
  ulia_known_k_overlap: mean=0.5600, variance=0.022400
  ulia_dynamic_precision: mean=0.2000, variance=0.060000
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.0769, variance=0.002633
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.3600, variance=0.070400
  clip_concept_precision: mean=0.4333, variance=0.062222
  clip_weighted_coverage: mean=0.3176, variance=0.063237
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6800, variance=0.025600
  feature_overlap@10: mean=0.8800, variance=0.005600



FL retraining summary across seeds:
Ratio:0.04
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.7189, variance=0.095752
  mia_acc_before: mean=0.5752, variance=0.000099
  mia_acc_after: mean=0.5690, variance=0.001233
  feature_vote_precision: mean=0.5367, variance=0.102711
  feature_vote_recall: mean=0.4800, variance=0.105600
  feature_vote_overlap: mean=0.4800, variance=0.105600
  delta_z_precision: mean=0.6800, variance=0.041600
  delta_z_recall: mean=0.6800, variance=0.041600
  delta_z_overlap: mean=0.6800, variance=0.041600
  confidence_drop_precision: mean=0.6800, variance=0.025600
  confidence_drop_recall: mean=0.6800, variance=0.025600
  confidence_drop_overlap: mean=0.6800, variance=0.025600
  hybrid_precision: mean=0.6800, variance=0.025600
  hybrid_recall: mean=0.6800, variance=0.025600
  hybrid_overlap: mean=0.6800, variance=0.025600
  ulia_known_k_precision: mean=0.6800, variance=0.041600
  ulia_known_k_recall: mean=0.6800, variance=0.041600
  ulia_known_k_overlap: mean=0.6800, variance=0.041600
  ulia_dynamic_precision: mean=0.4000, variance=0.140000
  ulia_dynamic_recall: mean=0.1200, variance=0.009600
  ulia_dynamic_overlap: mean=0.1200, variance=0.009600
  before_exclusive_strength_ratio: mean=0.1413, variance=0.008700
  target_label_feature_coverage: mean=0.7200, variance=0.025600
  clip_concept_coverage: mean=0.4400, variance=0.054400
  clip_concept_precision: mean=0.4444, variance=0.053086
  clip_weighted_coverage: mean=0.3896, variance=0.042618
  feature_overlap@1: mean=0.8000, variance=0.160000
  feature_overlap@5: mean=0.7200, variance=0.041600
  feature_overlap@10: mean=0.9600, variance=0.006400



FL retraining summary across seeds:
Ratio:0.05
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8757, variance=0.000009
  mia_acc_before: mean=0.5800, variance=0.000076
  mia_acc_after: mean=0.5842, variance=0.000031
  feature_vote_precision: mean=0.4033, variance=0.034267
  feature_vote_recall: mean=0.3200, variance=0.025600
  feature_vote_overlap: mean=0.3200, variance=0.025600
  delta_z_precision: mean=0.6400, variance=0.022400
  delta_z_recall: mean=0.6400, variance=0.022400
  delta_z_overlap: mean=0.6400, variance=0.022400
  confidence_drop_precision: mean=0.6000, variance=0.000000
  confidence_drop_recall: mean=0.6000, variance=0.000000
  confidence_drop_overlap: mean=0.6000, variance=0.000000
  hybrid_precision: mean=0.5200, variance=0.009600
  hybrid_recall: mean=0.5200, variance=0.009600
  hybrid_overlap: mean=0.5200, variance=0.009600
  ulia_known_k_precision: mean=0.5600, variance=0.022400
  ulia_known_k_recall: mean=0.5600, variance=0.022400
  ulia_known_k_overlap: mean=0.5600, variance=0.022400
  ulia_dynamic_precision: mean=0.2000, variance=0.060000
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.2036, variance=0.013827
  target_label_feature_coverage: mean=0.8000, variance=0.016000
  clip_concept_coverage: mean=0.5600, variance=0.022400
  clip_concept_precision: mean=0.5833, variance=0.005556
  clip_weighted_coverage: mean=0.4930, variance=0.020380
  feature_overlap@1: mean=0.0000, variance=0.000000
  feature_overlap@5: mean=0.6400, variance=0.022400
  feature_overlap@10: mean=0.8800, variance=0.005600
